MONTHLY MEANS
Site,month (mm/yyyy),monthly mean value (metres),No. of days used to calculate mean.,Datum,Channel
PORTSMOUTH,10/2016,2.83,6,ACD,Secondary
PORTSMOUTH,05/2017,2.919,22,ACD,Secondary
PORTSMOUTH,06/2017,2.926,30,ACD,Secondary
PORTSMOUTH,07/2017,2.936,31,ACD,Secondary
PORTSMOUTH,08/2017,2.928,31,ACD,Secondary
PORTSMOUTH,09/2017,2.98,30,ACD,Secondary
PORTSMOUTH,10/2017,2.977,31,ACD,Secondary
PORTSMOUTH,11/2017,2.969,30,ACD,Secondary
PORTSMOUTH,12/2017,2.955,31,ACD,Secondary
PORTSMOUTH,01/2018,2.963,31,ACD,Secondary
PORTSMOUTH,02/2018,2.789,28,ACD,Secondary
PORTSMOUTH,03/2018,2.984,31,ACD,Secondary
PORTSMOUTH,04/2018,2.92,30,ACD,Secondary
PORTSMOUTH,05/2018,2.866,31,ACD,Secondary
PORTSMOUTH,06/2018,2.864,30,ACD,Secondary
PORTSMOUTH,07/2018,2.895,31,ACD,Secondary
PORTSMOUTH,08/2018,2.914,31,ACD,Secondary
PORTSMOUTH,09/2018,2.908,30,ACD,Secondary
PORTSMOUTH,10/2018,2.938,31,ACD,Secondary
PORTSMOUTH,11/2018,3.015,30,ACD,Secondary
PORTSMOUTH,12/2018,2.989,31,ACD,Secondary
PORTSMOUTH,01/2019,2.882,31,ACD,Secondary
PORTSMOUTH,02/2019,2.873,28,ACD,Secondary
PORTSMOUTH,03/2019,2.908,31,ACD,Secondary
PORTSMOUTH,04/2019,2.923,25,ACD,Secondary
PORTSMOUTH,05/2019,2.872,31,ACD,Secondary
PORTSMOUTH,06/2019,2.907,30,ACD,Secondary
PORTSMOUTH,07/2019,2.931,31,ACD,Secondary
PORTSMOUTH,08/2019,2.944,31,ACD,Secondary
PORTSMOUTH,09/2019,2.948,30,ACD,Secondary
PORTSMOUTH,10/2019,3.059,31,ACD,Secondary
PORTSMOUTH,11/2019,3.101,30,ACD,Secondary
PORTSMOUTH,12/2019,3.064,30,ACD,Secondary
PORTSMOUTH,01/2020,2.973,31,ACD,Secondary
PORTSMOUTH,02/2020,3.027,29,ACD,Secondary
PORTSMOUTH,03/2020,2.878,31,ACD,Secondary
PORTSMOUTH,04/2020,2.9,30,ACD,Secondary
PORTSMOUTH,06/2020,2.968,30,ACD,Secondary
PORTSMOUTH,07/2020,2.918,31,ACD,Secondary
PORTSMOUTH,08/2020,3.002,31,ACD,Secondary
PORTSMOUTH,09/2020,2.959,30,ACD,Secondary
PORTSMOUTH,10/2020,3.04,31,ACD,Secondary
PORTSMOUTH,11/2020,3.002,30,ACD,Secondary
PORTSMOUTH,12/2020,3.088,31,ACD,Secondary
PORTSMOUTH,01/2021,2.977,30,ACD,Secondary
PORTSMOUTH,02/2021,2.963,28,ACD,Secondary
PORTSMOUTH,03/2021,2.844,31,ACD,Secondary
PORTSMOUTH,04/2021,2.84,27,ACD,Secondary
PORTSMOUTH,05/2021,2.956,31,ACD,Secondary
PORTSMOUTH,06/2021,2.902,26,ACD,Secondary
PORTSMOUTH,07/2021,2.971,18,ACD,Secondary
PORTSMOUTH,08/2021,2.948,31,ACD,Secondary
PORTSMOUTH,09/2021,2.97,17,ACD,Secondary
PORTSMOUTH,10/2021,3.072,16,ACD,Secondary
PORTSMOUTH,11/2021,3.101,4,ACD,Secondary
PORTSMOUTH,02/2022,2.966,2,ACD,Secondary
PORTSMOUTH,03/2022,2.935,1,ACD,Secondary
PORTSMOUTH,04/2022,2.994,1,ACD,Secondary
PORTSMOUTH,07/2022,2.771,5,ACD,Secondary
PORTSMOUTH,11/2022,3.146,4,ACD,Secondary
PORTSMOUTH,12/2022,3.244,2,ACD,Secondary
PORTSMOUTH,01/2023,3.003,7,ACD,Secondary
PORTSMOUTH,02/2023,2.807,17,ACD,Secondary
PORTSMOUTH,05/2023,2.819,8,ACD,Secondary
PORTSMOUTH,08/2023,2.975,21,ACD,Secondary
PORTSMOUTH,10/2023,3.182,26,ACD,Secondary
PORTSMOUTH,11/2023,3.361,11,ACD,Secondary
PORTSMOUTH,07/2024,3.009,28,ACD,Secondary
PORTSMOUTH,08/2024,3.017,31,ACD,Secondary
