determinand.definition,sample.sampleDateTime,sample.samplingPoint.easting,sample.samplingPoint.northing,sample.sampledMaterialType.label,Ammoniacal Nitrogen as N,pH,"Nitrogen, Total Oxidised as N",Nitrate as N,Nitrite as N,"Orthophosphate, reactive as P","Oxygen, Dissolved, % Saturation",Salinity : In Situ,Temperature of Water,BOD : 5 Day ATU,"Oxygen, Dissolved as O2","Nitrate, Filtered as N","Ammoniacal Nitrogen, Filtered as N","Nitrite, Filtered as N","Orthophosphate, Filtered as P","Nitrogen, Total Oxidised, Filtered as N",Turbidity : In Situ,Chlorophyll : Acetone Extract,Sample Depth below surface,Water Depth,Volume of Sample Filtered,NGR : Easting,NGR : Northing,"Nitrogen, Dissolved Inorganic : as N",Time of high tide,Time of sampling relative to previous high water,"Silicate, Filtered as SiO2"
1846,2011-12-21T09:01:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,7.24,,,,,,,,,,,,,,,,,
1847,2011-12-21T09:04:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,11.2,,,,,,,,,,,,,,,,,
1848,2012-01-06T16:11:00,464200,96000,SEA WATER,,,,,,,100.4,34.66,8.78,,9.37,0.193,0.02,0.0071,0.025,0.2,,0.87,0.2,11.7,,464184.0,95989.0,0.22,21.08,7.31,0.6
1849,2012-01-09T10:01:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,10.54,,,,,,,,,,,,,,,,,
1850,2012-01-11T16:18:00,483000,85500,SEA WATER,,,,,,,95.0,35.2,9.49,,8.69,0.116,0.02,0.004,0.023,0.12,,1.1,0.2,25.0,1000.0,482993.0,85485.0,0.14,12.17,4.01,0.38
1851,2012-01-11T16:52:00,474130,85280,SEA WATER,,,,,,,95.2,34.95,9.04,,8.81,0.155,0.02,0.0051,0.026,0.16,,0.81,0.2,17.4,1000.0,474118.0,85281.0,0.18,2.25,4.28,0.51
1852,2012-01-11T18:38:00,466500,93300,SEA WATER,,,,,,,94.5,34.8,8.97,,8.77,0.16399999999999998,0.02,0.0057,0.025,0.17,,0.9,0.2,31.0,1000.0,466498.0,93402.0,0.19,12.25,6.13,0.53
1853,2012-01-12T11:20:00,468670,99700,ESTUARINE WATER,,,,,,,96.6,34.74,8.8,,9.0,0.192,0.02,0.0076,0.029,0.2,,1.9,0.2,14.5,,468672.0,99702.0,0.22,3.15,10.11,0.62
1854,2012-01-12T11:28:00,469000,101200,ESTUARINE WATER,,,,,,,97.1,34.7,8.78,,9.06,0.183,0.02,0.006999999999999999,0.025,0.19,,1.8,0.2,5.5,,468981.0,101200.0,0.21,13.15,10.19,0.62
1855,2012-01-12T11:34:00,468380,101980,ESTUARINE WATER,,,,,,,96.1,34.72,8.79,,8.96,0.183,0.02,0.006999999999999999,0.026,0.19,,1.7,0.2,5.1,,468383.0,101942.0,0.21,13.15,10.25,0.61
1856,2012-01-12T11:51:00,467500,104000,ESTUARINE WATER,,,,,,,94.4,34.27,8.21,,8.95,0.212,0.044,0.008,0.023,0.22,,2.7,0.2,2.9,,467504.0,103993.0,0.264,13.15,10.42,0.76
1857,2012-01-12T12:18:00,470300,102000,ESTUARINE WATER,,,,,,,96.7,34.7,8.8,,9.02,0.193,0.02,0.006999999999999999,0.026,0.2,,2.3,0.2,7.0,,470292.0,101991.0,0.22,13.15,11.09,0.63
1858,2012-01-12T12:38:00,470600,103800,ESTUARINE WATER,,,,,,,96.2,34.52,8.61,,9.02,0.212,0.029,0.0077,0.027000000000000003,0.22,,1.3,0.2,4.8,,480594.0,103801.0,0.249,13.15,11.29,0.69
1859,2012-01-12T12:44:00,470300,104550,ESTUARINE WATER,,,,,,,95.2,34.18,8.39,,8.99,0.241,0.05,0.0087,0.029,0.25,,2.0,0.2,3.5,,470299.0,104550.0,0.3,13.15,11.35,0.8
1860,2012-01-12T12:53:00,471800,104300,ESTUARINE WATER,,,,,,,95.3,34.2,8.4,,9.0,0.222,0.042,0.0085,0.024,0.23,,2.4,0.2,3.8,,471778.0,104286.0,0.272,13.15,11.44,0.77
1861,2012-01-13T13:05:00,466500,93300,ESTUARINE WATER,,8.12,,,,,,,,,,,,,,,,,,,,,,,,,
1862,2012-01-16T09:45:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.03,8.36,2.62,2.6,0.016,0.069,102.8,,3.6,2.4,13.6,,,,,,,,,,,,,,,,
1863,2012-01-16T12:12:00,470680,105280,FINAL SEWAGE EFFLUENT,0.5,,7.5,7.4,0.1,3.3,,,,,,,,,,,,,,,,,,,,,
1864,2012-01-22T08:24:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,4.37,,,,,,,,,,,,,,,,,
1865,2012-01-22T08:29:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,
1866,2012-02-01T18:10:00,483000,85500,SEA WATER,,,,,,,95.2,35.17,7.4,,9.14,0.135,0.02,0.0047,0.022,0.14,,0.5,0.2,9.0,,482907.0,85517.0,0.16,17.25,0.45,0.38
1867,2012-02-07T08:14:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,6.15,,,,,,,,,,,,,,,,,
1868,2012-02-08T09:37:00,464200,96000,SEA WATER,,,,,,,96.4,34.903,5.577000000000001,,9.67,0.174,0.02,0.0059,0.025,0.18,,1.1,0.2,,1500.0,464137.0,95945.0,0.2,11.29,10.19,0.47
1869,2012-02-08T09:58:00,466500,93300,SEA WATER,,,,,,,97.1,35.026,5.892,,9.66,0.155,0.02,0.005,0.024,0.16,,0.96,0.2,,1300.0,466496.0,93288.0,0.18,11.29,10.4,0.43
1870,2012-02-08T11:00:00,474130,85280,SEA WATER,,,,,,,98.8,33.188,6.311,,9.86,0.125,0.02,0.0047,0.021,0.13,,1.3,0.2,21.5,1500.0,474124.0,185307.0,0.15,11.29,11.42,0.32
1871,2012-02-09T09:36:00,470680,105280,FINAL SEWAGE EFFLUENT,0.5,,6.6,6.5,0.1,2.18,,,,,,,,,,,,,,,,,,,,,
1872,2012-02-09T13:33:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.03,8.7,2.39,2.38,0.015,0.063,144.2,,4.64,2.2,18.6,,,,,,,,,,,,,,,,
1873,2012-02-21T10:17:00,468670,99700,ESTUARINE WATER,,,,,,,96.0,34.939,5.728,,9.6,0.156,0.02,0.0044,0.022,0.16,,1.0,0.2,16.0,,468662.0,99697.0,0.18,11.0,11.29,0.4
1874,2012-02-21T10:25:00,469000,101200,ESTUARINE WATER,,,,,,,95.7,34.945,5.7029999999999985,,9.57,0.165,0.02,0.0048,0.022,0.17,,1.0,0.2,6.9,,468992.0,101251.0,0.19,11.0,11.29,0.42
1875,2012-02-21T10:43:00,468380,101980,ESTUARINE WATER,,,,,,,99.3,35.016,5.757999999999999,,9.91,0.155,0.02,0.0047,0.022,0.16,,1.4,0.2,6.0,,468366.0,101984.0,0.18,11.0,11.55,0.39
1876,2012-02-21T10:58:00,467500,104000,ESTUARINE WATER,,,,,,,95.9,34.912,5.807,,9.57,0.175,0.02,0.0048,0.023,0.18,,1.2,0.2,3.5,,467506.0,103978.0,0.2,11.0,12.1,0.43
1877,2012-02-21T11:26:00,471800,104300,ESTUARINE WATER,,,,,,,96.1,34.707,5.7170000000000005,,9.63,0.175,0.02,0.0052,0.024,0.18,,1.0,0.2,3.5,,471776.0,104306.0,0.2,11.0,0.26,0.43
1878,2012-02-21T11:35:00,470300,104550,ESTUARINE WATER,,,,,,,96.2,34.74,5.7410000000000005,,9.63,0.183,0.02,0.0066,0.022,0.19,,0.89,0.2,4.4,,470310.0,104566.0,0.21,11.0,0.35,0.42
1879,2012-02-21T11:41:00,470600,103800,ESTUARINE WATER,,,,,,,96.4,34.859,5.765,,9.63,0.165,0.02,0.0046,0.022,0.17,,0.97,0.2,5.2,,470593.0,103815.0,0.19,11.0,0.41,0.4
1880,2012-02-21T11:56:00,470300,102000,ESTUARINE WATER,,,,,,,96.2,34.925,5.825,,9.6,0.156,0.02,0.0044,0.022,0.16,,1.3,0.2,7.4,,470295.0,102013.0,0.18,11.0,0.56,0.42
1881,2012-02-22T08:59:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,3.69,,,,,,,,,,,,,,,,,
1882,2012-02-22T09:07:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,7.37,,,,,,,,,,,,,,,,,
1883,2012-03-08T10:03:00,468670,99700,ESTUARINE WATER,,8.23,,,,,102.6,34.8,6.81,,,0.156,0.02,0.0044,0.024,0.16,,,,,,,,,,,
1884,2012-03-09T08:04:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,3.48,,,,,,,,,,,,,,,,,
1885,2012-03-09T10:09:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.03,8.54,2.45,2.43,0.0235,0.061,124.7,,8.07,1.5,14.7,,,,,,,,,,,,,,,,
1886,2012-03-12T09:38:00,470680,105280,FINAL SEWAGE EFFLUENT,1.71,,7.52,7.42,0.1,3.59,,,,,,,,,,,,,,,,,,,,,
1887,2012-03-24T07:40:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,
1888,2012-03-24T07:43:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,7.76,,,,,,,,,,,,,,,,,
1889,2012-04-04T10:15:00,468670,99700,ESTUARINE WATER,,8.3,,,,,103.8,35.11,10.26,,,0.096,0.02,0.004,0.013,0.1,,,,,,,,,,,
1890,2012-04-08T09:13:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,3.26,,,,,,,,,,,,,,,,,
1891,2012-04-11T09:26:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.03,8.14,2.02,2.0,0.0208,0.056,102.2,,8.1,2.0,12.1,,,,,,,,,,,,,,,,
1892,2012-04-11T09:44:00,470680,105280,FINAL SEWAGE EFFLUENT,0.5,,7.5,7.4,0.1,3.39,,,,,,,,,,,,,,,,,,,,,
1893,2012-04-27T08:46:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,4.6,,,,,,,,,,,,,,,,,
1894,2012-04-27T08:56:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,3.66,,,,,,,,,,,,,,,,,
1895,2012-05-10T07:48:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,13.85,,,,,,,,,,,,,,,,,
1896,2012-05-10T14:07:00,470680,105280,FINAL SEWAGE EFFLUENT,0.5,,4.1,4.0,0.1,1.6,,,,,,,,,,,,,,,,,,,,,
1897,2012-05-10T14:32:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.046,7.42,1.41,1.4,0.0106,0.052000000000000005,84.5,,13.2,2.9,8.84,,,,,,,,,,,,,,,,
1898,2012-05-12T15:12:00,474130,85280,SEA WATER,,,,,,,99.9,34.8,11.19,,8.83,0.096,0.02,0.004,0.012,0.1,,4.0,0.2,20.8,,474134.0,85281.0,0.12,16.41,11.12,0.2
1899,2012-05-16T17:02:00,483000,85500,SEA WATER,,,,,,,104.2,34.85,11.56,,9.13,0.096,0.02,0.004,0.012,0.1,,2.0,0.2,25.78,1000.0,482997.0,85494.0,0.12,21.28,8.01,0.2
1900,2012-05-17T15:21:00,464200,96000,SEA WATER,,,,,,,99.4,34.4,11.67,,8.72,0.0958,0.02,0.0042,0.015,0.1,,1.0,0.2,5.47,1500.0,465384.0,94939.0,0.12,9.54,5.27,0.2
1901,2012-05-22T11:14:00,468670,99700,ESTUARINE WATER,,,,,,,100.6,34.55,12.92,,8.58,0.096,0.02,0.004,0.011,0.1,,0.81,0.2,13.0,1500.0,468666.0,99704.0,0.12,13.26,10.16,0.2
1902,2012-05-22T11:21:00,469000,101200,ESTUARINE WATER,,,,,,,99.1,34.54,12.8,,8.48,0.096,0.02,0.004,0.012,0.1,,1.6,0.2,5.8,1500.0,469000.0,101201.0,0.12,13.26,10.23,0.2
1903,2012-05-22T11:28:00,468380,101980,ESTUARINE WATER,,,,,,,98.3,34.62,12.51,,8.45,0.096,0.02,0.004,0.013,0.1,,1.2,0.2,4.9,1500.0,468386.0,101972.0,0.12,13.26,10.3,0.2
1904,2012-05-22T11:42:00,467500,104000,ESTUARINE WATER,,,,,,,95.2,34.29,13.69,,8.01,0.096,0.02,0.004,0.01,0.1,,2.0,0.2,2.4,1000.0,467501.0,103974.0,0.12,13.26,10.44,0.2
1905,2012-05-22T12:08:00,470300,102000,ESTUARINE WATER,,,,,,,98.8,34.56,12.87,,8.44,0.0942,0.02,0.0058,0.012,0.1,,1.6,0.2,7.0,,470288.0,102004.0,0.12,13.26,11.1,0.2
1906,2012-05-22T12:19:00,470600,103800,ESTUARINE WATER,,,,,,,97.7,34.4,13.28,,8.28,0.096,0.02,0.004,0.011,0.1,,2.3,0.2,4.9,,470591.0,103794.0,0.12,13.26,11.21,0.2
1907,2012-05-22T12:24:00,470300,104550,ESTUARINE WATER,,,,,,,97.5,34.11,13.71,,8.21,0.096,0.02,0.004,0.01,0.1,,3.2,0.2,5.1,,470312.0,104558.0,0.12,13.26,11.26,0.22
1908,2012-05-22T12:32:00,471800,104300,ESTUARINE WATER,,,,,,,97.5,34.11,13.71,,8.21,0.096,0.02,0.004,0.012,0.1,,2.6,0.2,5.1,,471772.0,104293.0,0.12,13.26,11.26,0.2
1909,2012-05-22T14:14:00,466500,93300,ESTUARINE WATER,,8.21,,,,,,,,,,,,,,,,,,,,,,,,,
1910,2012-05-22T14:15:00,466500,93300,SEA WATER,,,,,,,96.0,34.82,12.18,,8.3,0.096,0.02,0.004,0.015,0.1,,1.0,0.2,28.0,,466494.0,93298.0,0.12,13.26,0.48,0.2
1911,2012-05-24T08:57:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,5.75,,,,,,,,,,,,,,,,,
1912,2012-05-24T09:05:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,4.23,,,,,,,,,,,,,,,,,
1913,2012-06-01T09:55:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.03,8.58,3.25,3.21,0.0444,0.086,140.0,,16.3,1.7,13.7,,,,,,,,,,,,,,,,
1914,2012-06-07T08:28:00,470680,105280,FINAL SEWAGE EFFLUENT,0.5,,4.2,4.1,0.1,2.87,,,,,,,,,,,,,,,,,,,,,
1915,2012-06-10T11:52:00,464200,96000,SEA WATER,,,,,,,96.1,34.49,14.66,,7.91,0.096,0.02,0.004,0.019,0.1,,2.9,0.2,12.1,1000.0,464201.0,95976.0,0.12,16.54,7.38,0.2
1916,2012-06-10T12:07:00,466500,93300,SEA WATER,,,,,,,95.5,34.44,14.64,,7.87,0.096,0.02,0.004,0.014,0.1,,6.2,0.2,27.5,1000.0,466498.0,93288.0,0.12,16.54,7.53,0.2
1917,2012-06-10T12:27:00,468670,99700,ESTUARINE WATER,,,,,,,93.7,34.08,14.82,,7.71,0.0955,0.278,0.0045,0.016,0.1,,4.3,0.2,12.7,1000.0,468656.0,99696.0,0.378,16.54,8.13,0.2
1918,2012-06-10T12:37:00,469000,101200,ESTUARINE WATER,,,,,,,94.7,33.9,14.72,,7.82,0.096,0.02,0.004,0.01,0.1,,5.4,0.2,4.4,1000.0,469005.0,101213.0,0.12,16.54,8.23,0.2
1919,2012-06-10T12:48:00,470300,102000,ESTUARINE WATER,,,,,,,94.8,33.77,14.68,,7.84,0.096,0.02,0.004,0.01,0.1,,3.3,0.2,4.8,1000.0,470300.0,102000.0,0.12,16.54,8.34,0.2
1920,2012-06-10T13:03:00,470600,103800,ESTUARINE WATER,,,,,,,97.4,33.38,14.45,,8.11,0.106,0.02,0.004,0.011,0.11,,5.8,0.2,2.9,1000.0,470589.0,103795.0,0.13,16.54,8.49,0.22
1921,2012-06-10T13:16:00,470300,104550,ESTUARINE WATER,,,,,,,99.8,33.07,14.39,,8.34,0.17600000000000002,0.02,0.004,0.012,0.18,,6.8,0.2,1.2,1000.0,470305.0,104550.0,0.2,16.54,8.56,0.36
1922,2012-06-10T13:25:00,471800,104300,ESTUARINE WATER,,,,,,,104.7,33.65,14.88,,8.63,0.096,0.02,0.004,0.01,0.1,,5.5,0.2,1.1,1000.0,471768.0,104295.0,0.12,16.54,9.11,0.2
1923,2012-06-10T13:52:00,468380,101980,ESTUARINE WATER,,,,,,,93.3,33.91,14.71,,7.7,0.096,0.02,0.004,0.01,0.1,,15.2,0.2,4.0,1000.0,468380.0,101982.0,0.12,16.54,9.38,0.2
1924,2012-06-10T14:11:00,467500,104000,ESTUARINE WATER,,,,,,,95.5,33.67,14.82,,7.88,0.096,0.02,0.004,0.01,0.1,,5.8,0.2,1.8,1000.0,467503.0,103994.0,0.12,16.54,9.57,0.2
1925,2012-06-12T11:12:00,483000,85500,SEA WATER,,,,,,,90.3,34.86,13.98,,7.52,0.096,0.02,0.004,0.015,0.1,,0.99,0.2,24.4,1300.0,483005.0,85500.0,0.12,5.56,5.14,0.2
1926,2012-06-12T11:54:00,474130,85280,SEA WATER,,,,,,,90.0,34.65,14.33,,7.45,0.096,0.02,0.004,0.012,0.1,,1.4,0.2,21.8,1200.0,474124.0,85276.0,0.12,5.56,5.36,0.2
1927,2012-06-15T08:50:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,7.53,,,,,,,,,,,,,,,,,
1928,2012-06-27T08:31:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.03,8.16,2.4,2.39,0.0112,0.065,110.5,,15.0,1.9,11.1,,,,,,,,,,,,,,,,
1929,2012-06-30T08:04:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,6.55,,,,,,,,,,,,,,,,,
1930,2012-06-30T08:10:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,6.45,,,,,,,,,,,,,,,,,
1931,2012-07-02T10:49:00,483000,85500,SEA WATER,,,,,,,101.1,34.54,15.09,,8.25,0.096,0.02,0.004,0.01,0.1,,0.5,0.2,26.1,1000.0,482999.0,85503.0,0.12,7.23,3.26,0.2
1932,2012-07-04T14:24:00,483000,85500,SEA WATER,,,,,,,94.6,34.56,16.05,,7.57,0.096,0.02,0.004,0.012,0.1,,1.7,0.2,27.76,2000.0,482985.0,85505.0,0.12,12.3,1.54,0.2
1933,2012-07-04T14:56:00,474130,85280,SEA WATER,,,,,,,95.5,34.66,15.95,,7.65,0.096,0.02,0.004,0.013,0.1,,1.9,0.2,21.9,2000.0,474101.0,85298.0,0.12,12.3,2.26,0.2
1934,2012-07-06T08:59:00,464200,96000,SEA WATER,,,,,,,97.3,34.45,16.32,,7.75,0.096,0.02,0.004,0.012,0.1,,1.2,0.2,5.08,2000.0,465482.0,94952.0,0.12,14.13,7.22,0.2
1935,2012-07-06T09:19:00,466500,93300,SEA WATER,,,,,,,94.2,34.12,16.64,,7.47,0.096,0.02,0.004,0.013,0.1,,1.9,0.2,20.93,2000.0,466511.0,93408.0,0.12,14.13,7.42,0.2
1936,2012-07-10T12:34:00,468670,99700,ESTUARINE WATER,,,,,,,98.4,33.79,16.98,,7.77,0.096,0.02,0.004,0.011,0.1,,4.2,0.2,13.7,1000.0,468669.0,199698.0,0.12,16.57,8.08,0.2
1937,2012-07-10T12:43:00,469000,101200,ESTUARINE WATER,,,,,,,101.2,33.36,17.17,,7.99,0.096,0.02,0.004,0.011,0.1,,4.0,0.2,4.0,1000.0,469001.0,101202.0,0.12,16.57,8.17,0.2
1938,2012-07-10T13:04:00,468380,101980,ESTUARINE WATER,,,,,,,99.9,33.32,17.31,,7.86,0.096,0.02,0.004,0.011,0.1,,5.9,0.2,4.2,1000.0,468380.0,101978.0,0.12,16.57,8.38,0.2
1939,2012-07-10T13:24:00,467500,104000,ESTUARINE WATER,,,,,,,100.5,32.7,17.57,,7.9,0.096,0.02,0.004,0.011,0.1,,5.8,0.2,1.3,500.0,467507.0,103996.0,0.12,16.57,8.58,0.34
1940,2012-07-10T13:45:00,470300,102000,ESTUARINE WATER,,,,,,,98.7,33.26,17.26,,7.78,0.096,0.02,0.004,0.01,0.1,,4.8,0.2,5.6,1000.0,470296.0,102000.0,0.12,16.57,9.19,0.2
1941,2012-07-10T13:55:00,470600,103800,ESTUARINE WATER,,,,,,,98.0,32.81,17.42,,7.72,0.0956,0.02,0.0044,0.013,0.1,,5.2,0.2,3.2,1000.0,470600.0,103803.0,0.12,16.57,9.29,0.21
1942,2012-07-10T13:59:00,470300,104550,ESTUARINE WATER,,,,,,,102.6,32.6,17.53,,8.08,0.0956,0.02,0.0044,0.011,0.1,,6.6,0.2,1.8,1000.0,470300.0,104549.0,0.12,16.57,9.33,0.2
1943,2012-07-10T14:08:00,471800,104300,ESTUARINE WATER,,,,,,,119.3,31.81,17.72,,9.41,0.135,0.02,0.005,0.012,0.14,,9.3,0.2,1.6,500.0,471759.0,104290.0,0.16,16.57,9.42,0.52
1944,2012-07-12T10:00:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,6.94,,,,,,,,,,,,,,,,,
1945,2012-07-23T09:45:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.03,8.21,3.32,3.3,0.0184,0.092,96.4,,14.9,1.5,9.72,,,,,,,,,,,,,,,,
1946,2012-07-23T11:26:00,470680,105280,FINAL SEWAGE EFFLUENT,0.5,,6.0,5.9,0.1,2.57,,,,,,,,,,,,,,,,,,,,,
1947,2012-07-26T08:52:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,8.99,,,,,,,,,,,,,,,,,
1948,2012-07-26T08:54:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,6.72,,,,,,,,,,,,,,,,,
1949,2012-08-05T10:33:00,464200,96000,SEA WATER,,,,,,,95.9,34.24,17.9,,7.42,0.096,0.02,0.004,0.013,0.1,,2.3,0.2,12.0,1000.0,464190.0,96005.0,0.12,14.3,8.33,0.23
1950,2012-08-05T11:02:00,483000,85500,SEA WATER,,,,,,,98.6,34.73,17.65,,7.64,0.096,0.02,0.004,0.012,0.1,,2.2,0.2,13.8,1000.0,483002.0,85487.0,0.12,14.3,9.02,0.2
1951,2012-08-05T11:24:00,474130,85280,SEA WATER,,,,,,,97.5,34.66,17.85,,7.53,0.096,0.02,0.004,0.015,0.1,,1.7,0.2,9.5,1000.0,474146.0,85284.0,0.12,14.3,9.24,0.2
1952,2012-08-06T10:08:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,2.33,,,,,,,,,,,,,,,,,
1953,2012-08-06T12:50:00,466500,93300,SEA WATER,,,,,,,98.1,34.14,18.24,,7.55,0.0958,0.02,0.0042,0.015,0.1,,2.5,0.2,30.5,1000.0,466490.0,93293.0,0.12,14.25,10.5,0.26
1954,2012-08-08T08:24:00,470680,105280,FINAL SEWAGE EFFLUENT,0.5,,4.5,4.4,0.1,2.16,,,,,,,,,,,,,,,,,,,,,
1955,2012-08-08T10:59:00,468670,99700,ESTUARINE WATER,,,,,,,,34.05,18.21,,,0.096,0.02,0.004,0.013,0.1,,2.4,0.2,11.4,1000.0,468670.0,99699.0,0.12,16.11,7.11,0.23
1956,2012-08-08T11:14:00,469000,101200,ESTUARINE WATER,,,,,,,94.1,33.69,18.34,,7.25,0.096,0.02,0.004,0.013,0.1,,3.1,0.2,4.1,1000.0,469000.0,101204.0,0.12,16.11,7.26,0.34
1957,2012-08-08T11:22:00,470300,102000,ESTUARINE WATER,,,,,,,96.3,33.72,18.38,,7.41,0.0957,0.02,0.0043,0.013,0.1,,2.9,0.2,4.5,1000.0,470297.0,101997.0,0.12,16.11,7.34,0.35
1958,2012-08-08T11:37:00,470600,103800,ESTUARINE WATER,,,,,,,90.8,33.38,18.4,,7.0,0.096,0.02,0.004,0.012,0.1,,4.4,0.2,2.5,1000.0,470601.0,103799.0,0.12,16.11,7.49,0.41
1959,2012-08-08T11:45:00,470300,104550,ESTUARINE WATER,,,,,,,92.7,33.11,18.34,,7.16,0.096,0.02,0.004,0.012,0.1,,6.4,0.2,1.2,1000.0,470300.0,104549.0,0.12,16.11,7.57,0.39
1960,2012-08-08T12:00:00,471800,104300,ESTUARINE WATER,,,,,,,109.3,32.24,18.51,,8.47,0.266,0.02,0.0044,0.011,0.27,,5.6,0.2,0.8,1000.0,471778.0,104307.0,0.29,16.11,8.12,0.72
1961,2012-08-08T12:27:00,468380,101980,ESTUARINE WATER,,,,,,,94.9,33.92,18.3,,7.3,0.096,0.02,0.004,0.012,0.1,,3.8,0.2,3.4,1000.0,468379.0,101974.0,0.12,16.11,8.39,0.27
1962,2012-08-08T13:02:00,467500,104000,ESTUARINE WATER,,,,,,,92.3,33.66,18.48,,7.09,0.096,0.02,0.004,0.013,0.1,,4.8,0.2,1.3,1000.0,467494.0,103998.0,0.12,16.11,9.14,0.43
1963,2012-08-20T08:20:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.05,8.5,2.92,2.89,0.0299,0.134,97.8,,17.3,1.2,9.37,,,,,,,,,,,,,,,,
1964,2012-08-20T08:46:00,470680,105280,FINAL SEWAGE EFFLUENT,0.5,,11.9,11.8,0.1,3.89,,,,,,,,,,,,,,,,,,,,,
1965,2012-08-22T09:27:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,8.39,,,,,,,,,,,,,,,,,
1966,2012-08-22T09:33:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,7.35,,,,,,,,,,,,,,,,,
1967,2012-09-05T10:14:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,3.16,,,,,,,,,,,,,,,,,
1968,2012-09-05T15:23:00,483000,85500,SEA WATER,,,,,,,96.6,34.82,18.38,,7.38,0.096,0.02,0.004,0.014,0.1,,1.2,0.2,27.48,1500.0,482996.0,85501.0,0.12,14.59,0.24,0.23
1969,2012-09-05T15:57:00,474130,85280,SEA WATER,,,,,,,96.7,34.85,18.14,,7.42,0.096,0.02,0.004,0.012,0.1,,2.7,0.2,22.33,1500.0,474116.0,85299.0,0.12,14.59,0.58,0.2
1970,2012-09-05T16:44:00,466500,93300,SEA WATER,,,,,,,95.8,34.81,18.21,,7.34,0.096,0.02,0.004,0.012,0.1,,1.5,0.2,23.61,1500.0,466505.0,93397.0,0.12,14.59,1.45,0.2
1971,2012-09-06T08:36:00,464200,96000,SEA WATER,,,,,,,95.6,34.69,18.26,,7.32,0.0951,0.02,0.0049,0.016,0.1,,1.3,0.2,4.59,1500.0,465417.0,94952.0,0.12,3.13,5.23,0.29
1972,2012-09-11T09:32:00,467500,104000,ESTUARINE WATER,,,,,,,88.9,34.56,17.82,,6.87,0.096,0.02,0.004,0.013,0.1,,1.3,0.2,2.4,1500.0,467499.0,103997.0,0.12,8.08,1.24,0.35
1973,2012-09-11T09:48:00,468380,101980,ESTUARINE WATER,,,,,,,90.6,34.58,18.12,,6.97,0.0957,0.02,0.0043,0.017,0.1,,1.6,0.2,4.5,1500.0,468401.0,101964.0,0.12,8.08,1.4,0.32
1974,2012-09-11T10:17:00,471800,104300,ESTUARINE WATER,,,,,,,86.1,30.96,17.45,,6.86,0.5529999999999999,0.02,0.0073,0.01,0.56,,2.8,0.2,2.0,800.0,471759.0,104290.0,0.58,8.08,2.09,1.14
1975,2012-09-11T10:23:00,470600,103800,ESTUARINE WATER,,,,,,,88.1,34.17,18.23,,6.78,0.096,0.022,0.004,0.013,0.1,,2.1,0.2,3.7,1500.0,470594.0,103796.0,0.122,8.08,2.15,0.24
1976,2012-09-11T10:30:00,470300,104550,ESTUARINE WATER,,,,,,,89.2,34.1,17.9,,6.91,0.096,0.02,0.004,0.011,0.1,,1.8,0.2,2.5,1500.0,470299.0,104550.0,0.12,8.08,2.22,0.2
